Rule #,Rule Name,Category,Description,Trigger Condition,Default Threshold / Parameters,Tags,Enabled by Default,Config Key(s)
1,Prohibited Country,Jurisdiction Risk,Flags any transaction involving a country on the prohibited jurisdictions list. These are sanctioned or embargoed territories where financial activity is not permitted. Any match immediately scores the maximum and is classified as CRITICAL regardless of amount.,The transaction is sent to or received from a country on the prohibited list,N/A - any amount triggers,PROHIBITED_COUNTRY,Yes,cfg_rule_enabled_prohibited_country
2,High-Risk Corridor,Jurisdiction Risk,Flags transactions to or from countries classified as high-risk in the country risk reference table. Each high-risk country carries its own pre-assigned risk score reflecting the jurisdiction's AML/CFT risk profile. The rule only fires when the transaction amount meets the configured minimum.,The transaction involves a country rated as high-risk or high-risk third-party and the amount is at or above the minimum threshold,Minimum amount: �0.00 (i.e. any amount); score from ref_country_risk table,HIGH_RISK_COUNTRY,Yes,cfg_rule_enabled_high_risk_corridor; cfg_high_risk_min_amount
3,Cash Daily Breach,Cash Activity,Monitors cumulative daily cash activity per customer. When total cash transactions for a single day exceed the configured daily limit the rule fires. Cash transactions are identified by either the channel field being set to 'cash' or the word 'cash' appearing in the transaction narrative.,The transaction is a cash payment (by channel or narrative) and the customer's total cash transactions for that day exceed the daily limit,Daily limit: To be confirmed by CBS,CASH_DAILY_BREACH,Yes,cfg_rule_enabled_cash_daily_breach; cfg_cash_daily_limit
4,Historical Deviation (Median Outlier),Behavioural Deviation,Detects transactions that are significantly larger than the customer's typical activity. The rule calculates the median transaction amount for each customer and direction (in/out) and flags any transaction exceeding that median by the configured multiplier. Helps identify unusual spikes that deviate from established patterns.,The transaction amount is more than three times the customer's median amount for that direction (in or out),Multiplier: 3.0,HISTORICAL_DEVIATION,Yes,cfg_median_outlier; cfg_median_multiplier
5,NLP Risky Terms,Narrative Risk,Scans the free-text narrative field of each transaction for keywords commonly associated with higher-risk activity. The term list is configurable and each term can be individually enabled or disabled. Matches are case-insensitive substring checks.,The transaction narrative contains one or more keywords from the risky terms list,Default terms: c.4000 terms as standard,NLP_RISK,Yes,cfg_rule_enabled_nlp_risky_terms; cfg_risky_terms2
6,Outflows > Historical Average,Behavioural Deviation,Compares a customer's actual monthly outgoing transaction volume against their own historical average. The average is calculated from all prior months of outflow data excluding the current month. When the total outflows for a calendar month exceed the historical average multiplied by the configured tolerance factor the rule fires. Requires at least three months of prior history to establish a meaningful baseline.,The customer's total outgoing transactions for the month exceed 120% of their historical average monthly outflows,Factor: 120% of historical average; Min months: 3,EXPECTED_BREACH_OUT,Yes,cfg_rule_enabled_expected_out; cfg_expected_out_factor; cfg_expected_min_months
7,Inflows > Historical Average,Behavioural Deviation,Compares a customer's actual monthly incoming transaction volume against their own historical average. The average is calculated from all prior months of inflow data excluding the current month. When the total inflows for a calendar month exceed the historical average multiplied by the configured tolerance factor the rule fires. Requires at least three months of prior history to establish a meaningful baseline.,The customer's total incoming transactions for the month exceed 120% of their historical average monthly inflows,Factor: 120% of historical average; Min months: 3,EXPECTED_BREACH_IN,Yes,cfg_rule_enabled_expected_in; cfg_expected_in_factor; cfg_expected_min_months
8,Structuring,Structuring Detection,Detects potential structuring (also known as smurfing) where a customer deliberately keeps transaction amounts just below a reporting threshold to avoid detection. The rule looks for transactions falling within a configurable margin below the threshold and checks whether multiple such transactions occurred within a rolling 7-day window. Multiple near-threshold transactions in a short period suggest deliberate avoidance of reporting obligations.,The transaction amount falls just below the reporting threshold (within 15%) and the customer has made two or more similar near-threshold transactions within the last seven days,"Threshold: �10,000; Margin: 15%; Min count: 2 in 7 days",STRUCTURING,Yes,cfg_rule_enabled_structuring; cfg_structuring_threshold; cfg_structuring_margin_pct; cfg_structuring_min_count
9,Flow-Through,Flow-Through Detection,Identifies potential pass-through or layering behaviour where funds are received and then rapidly sent out again in a similar amount. The rule looks for an opposite-direction transaction (in matched with out or vice versa) for the same customer within the configured time window where the amounts are within the configured match tolerance. Rapid movement of similar amounts in and out of an account can indicate the account is being used as a conduit.,The customer received and sent out a similar amount (within 20% of each other) within a three-day window,Window: 3 days; Match tolerance: 80% (amounts within 20% of each other),FLOW_THROUGH,Yes,cfg_rule_enabled_flowthrough; cfg_flowthrough_window_days; cfg_flowthrough_match_pct
10,Dormancy Reactivation,Dormancy Detection,Flags large transactions on accounts that have been inactive for an extended period. An account is considered dormant if there has been no transaction activity for the configured number of days. When a transaction above the reactivation threshold then appears it may indicate the account is being used as a mule or has been compromised. The rule requires prior transaction history to distinguish dormancy from genuinely new accounts.,"The customer's account had no activity for at least 90 days, and this transaction is for £5,000 or more","Inactive days: 90; Reactivation amount: �5,000",DORMANCY_REACTIVATION,Yes,cfg_rule_enabled_dormancy; cfg_dormancy_inactive_days; cfg_dormancy_reactivation_amount
11,High Velocity,Velocity Detection,Detects bursts of transaction activity that may indicate automated or suspicious behaviour. When the number of transactions for a single customer within the configured time window meets or exceeds the minimum count the rule fires. A high volume of transactions in a short period can indicate layering activity or compromised account access.,The customer has made five or more transactions within a 24-hour period,Window: 24 hours; Min count: 5 transactions,HIGH_VELOCITY,Yes,cfg_rule_enabled_velocity; cfg_velocity_window_hours; cfg_velocity_min_count
